emp_ID,referral,location,satisfied
x298,Applied,Remote,Favorable
x299,Applied,Remote,Unfavorable
x300,Applied,Remote,Favorable
x301,Applied,Remote,Favorable
x302,Applied,Remote,Favorable
x303,Applied,Remote,Favorable
x304,Applied,Remote,Favorable
x305,Applied,Remote,Favorable
x306,Applied,Remote,Unfavorable
x307,Applied,Remote,Favorable
x308,Applied,Remote,Favorable
x309,Applied,Remote,Unfavorable
x310,Applied,Remote,Unfavorable
x311,Applied,Remote,Favorable
x312,Applied,Remote,Favorable
x313,Applied,Remote,Unfavorable
x314,Applied,Remote,Favorable
x315,Applied,Remote,Unfavorable
x316,Applied,Remote,Unfavorable
x317,Applied,Remote,Unfavorable
x318,Applied,Remote,Favorable
x319,Applied,Remote,Unfavorable
x320,Applied,Remote,Favorable
x321,Applied,Remote,Favorable
x322,Applied,Remote,Favorable
x323,Applied,Remote,Favorable
x324,Applied,Remote,Favorable
x325,Applied,Remote,Unfavorable
x326,Applied,Remote,Favorable
x327,Applied,Remote,Favorable
x328,Applied,Remote,Favorable
x329,Applied,Remote,Favorable
x330,Applied,Remote,Unfavorable
x331,Applied,Remote,Favorable
x332,Applied,Remote,Favorable
x333,Applied,Remote,Favorable
x334,Applied,Remote,Unfavorable
x335,Applied,Remote,Favorable
x336,Applied,Remote,Favorable
x337,Applied,Remote,Unfavorable
x338,Applied,Remote,Favorable
x339,Applied,Remote,Favorable
x340,Applied,Remote,Favorable
x341,Applied,Remote,Favorable
x342,Applied,Remote,Favorable
x343,Applied,Remote,Favorable
x344,Applied,Remote,Favorable
x345,Applied,Remote,Favorable
x346,Applied,Remote,Favorable
x347,Applied,Remote,Favorable
x348,Applied,Remote,Favorable
x349,Applied,Remote,Favorable
x350,Applied,Remote,Favorable
x351,Applied,Remote,Favorable
x352,Applied,Remote,Favorable
x353,Applied,Remote,Favorable
x354,Applied,Remote,Favorable
x355,Applied,Remote,Favorable
x356,Applied,Remote,Favorable
x357,Applied,Remote,Favorable
x358,Applied,Remote,Favorable
x359,Applied,Remote,Favorable
x360,Applied,Remote,Favorable
x361,Applied,Remote,Favorable
x362,Applied,Remote,Favorable
x363,Applied,Remote,Unfavorable
x364,Applied,Remote,Unfavorable
x365,Applied,Remote,Unfavorable
x366,Applied,Remote,Favorable
x367,Applied,Remote,Favorable
x368,Applied,Remote,Unfavorable
x369,Applied,Remote,Favorable
x370,Applied,Remote,Unfavorable
x371,Applied,Remote,Favorable
x372,Applied,Remote,Favorable
x373,Applied,Remote,Favorable
x374,Applied,Remote,Unfavorable
x375,Applied,Remote,Unfavorable
x376,Applied,Remote,Favorable
x377,Applied,Remote,Favorable
x378,Applied,Remote,Favorable
x379,Applied,Remote,Favorable
x380,Applied,Remote,Unfavorable
x381,Applied,Remote,Favorable
x382,Applied,Remote,Favorable
x383,Applied,Remote,Favorable
x384,Applied,Remote,Favorable
x385,Applied,Remote,Favorable
x386,Applied,Remote,Unfavorable
x387,Applied,Remote,Favorable
x388,Applied,Remote,Favorable
x389,Applied,Remote,Favorable
x390,Applied,Remote,Favorable
x391,Applied,Remote,Favorable
x392,Applied,Remote,Favorable
x393,Applied,Remote,Unfavorable
x394,Applied,Remote,Unfavorable
x395,Applied,Remote,Favorable
x396,Applied,Remote,Favorable
x397,Applied,Remote,Favorable
x398,Applied,Remote,Favorable
x399,Applied,Remote,Favorable
x400,Applied,Remote,Favorable
x401,Applied,Remote,Favorable
x402,Applied,Remote,Unfavorable
x403,Applied,Remote,Unfavorable
x404,Applied,Remote,Unfavorable
x405,Applied,Remote,Unfavorable
x406,Applied,Remote,Favorable
x407,Applied,Remote,Unfavorable
x408,Applied,Remote,Favorable
x409,Applied,Remote,Favorable
x410,Applied,Remote,Favorable
x411,Applied,Remote,Unfavorable
x412,Applied,Remote,Favorable
x413,Applied,Remote,Favorable
x414,Applied,Remote,Favorable
x415,Applied,Remote,Favorable
x416,Applied,Remote,Favorable
x417,Applied,Remote,Unfavorable
x418,Applied,Remote,Unfavorable
x419,Applied,Remote,Unfavorable
x420,Applied,Remote,Unfavorable
x421,Applied,Remote,Favorable
x422,Applied,Remote,Unfavorable
x423,Applied,Remote,Favorable
x424,Applied,Remote,Unfavorable
x425,Applied,Remote,Favorable
x426,Applied,Remote,Favorable
x427,Applied,Remote,Unfavorable
x428,Applied,Remote,Favorable
x429,Applied,Remote,Favorable
x430,Applied,Remote,Unfavorable
x431,Applied,Remote,Unfavorable
x432,Applied,Remote,Favorable
x433,Applied,Remote,Unfavorable
x434,Applied,Remote,Favorable
x435,Applied,Remote,Favorable
x436,Applied,Remote,Favorable
x437,Applied,Remote,Favorable
x438,Applied,Remote,Favorable
x439,Applied,Remote,Favorable
x440,Applied,Remote,Favorable
x441,Applied,Remote,Unfavorable
x442,Applied,Remote,Favorable
x443,Applied,Remote,Favorable
x444,Applied,Remote,Favorable
x445,Applied,Remote,Favorable
x446,Applied,Remote,Favorable
x447,Applied,Remote,Favorable
x448,Applied,Remote,Favorable
x449,Applied,Remote,Unfavorable
x450,Applied,Remote,Favorable
x451,Applied,Remote,Unfavorable
x452,Applied,Remote,Unfavorable
x453,Applied,Remote,Favorable
x454,Applied,Remote,Favorable
x455,Applied,Remote,Favorable
x456,Applied,Remote,Unfavorable
x457,Applied,Remote,Favorable
x458,Applied,Remote,Unfavorable
x459,Applied,Remote,Favorable
x460,Applied,Remote,Favorable
x461,Applied,Remote,Unfavorable
x462,Applied,Remote,Favorable
x463,Applied,Remote,Favorable
x464,Applied,Remote,Unfavorable
x465,Applied,Remote,Favorable
x466,Applied,Remote,Unfavorable
x467,Applied,Remote,Favorable
x468,Applied,Remote,Unfavorable
x469,Applied,Remote,Unfavorable
x470,Applied,Remote,Favorable
x471,Applied,Remote,Favorable
x472,Applied,Remote,Favorable
x473,Applied,Remote,Favorable
x474,Applied,Remote,Favorable
x475,Applied,Remote,Favorable
x476,Applied,Remote,Favorable
x477,Applied,Remote,Favorable
x478,Applied,Remote,Unfavorable
x479,Applied,Remote,Favorable
x480,Applied,Remote,Favorable
x481,Applied,Remote,Unfavorable
x482,Applied,Remote,Favorable
x483,Applied,Remote,Favorable
x484,Applied,Remote,Favorable
x485,Applied,Remote,Favorable
x486,Applied,Remote,Favorable
x487,Applied,Remote,Favorable
x488,Applied,Remote,Unfavorable
x489,Applied,Remote,Favorable
x490,Applied,Remote,Favorable
x491,Applied,Remote,Favorable
x492,Applied,Remote,Favorable
x493,Applied,Remote,Favorable
x494,Applied,Remote,Favorable
x495,Applied,Remote,Unfavorable
x496,Applied,Remote,Favorable
x497,Applied,Remote,Unfavorable
x498,Applied,Remote,Favorable
x499,Applied,Remote,Favorable
x500,Applied,Remote,Favorable
x501,Applied,Remote,Favorable
x502,Applied,Remote,Favorable
x503,Applied,Remote,Favorable
x504,Applied,Remote,Unfavorable
x505,Applied,Remote,Favorable
x506,Applied,Remote,Favorable
x507,Applied,Remote,Favorable
x508,Applied,Remote,Unfavorable
x509,Applied,Remote,Favorable
x510,Applied,Remote,Unfavorable
x511,Applied,Remote,Unfavorable
x512,Applied,Remote,Unfavorable
x513,Applied,Remote,Unfavorable
x514,Applied,Remote,Favorable
x515,Applied,Remote,Favorable
x516,Applied,Remote,Favorable
x517,Applied,Remote,Favorable
x518,Applied,Remote,Favorable
x519,Applied,Remote,Favorable
x520,Applied,Remote,Unfavorable
x521,Applied,Remote,Unfavorable
x522,Applied,Remote,Favorable
x523,Applied,Remote,Favorable
x524,Applied,Remote,Favorable
x525,Applied,Remote,Favorable
x526,Applied,Remote,Unfavorable
x527,Applied,Remote,Favorable
x528,Applied,Remote,Favorable
x529,Applied,Remote,Unfavorable
x530,Applied,Remote,Favorable
x531,Applied,Remote,Favorable
x532,Applied,Remote,Unfavorable
x533,Applied,Remote,Favorable
x534,Applied,Remote,Unfavorable
x535,Applied,Remote,Favorable
x536,Applied,Remote,Favorable
x537,Applied,Remote,Unfavorable
x538,Applied,Remote,Favorable
x539,Applied,Remote,Favorable
x540,Applied,Remote,Unfavorable
x541,Applied,Remote,Favorable
x542,Applied,Remote,Favorable
x543,Applied,Remote,Favorable
x544,Applied,Remote,Favorable
x545,Applied,Remote,Favorable
x546,Applied,Remote,Unfavorable
x547,Applied,Remote,Favorable
x548,Applied,Remote,Unfavorable
x549,Referred,Office,Unfavorable
x550,Referred,Office,Unfavorable
x551,Referred,Office,Favorable
x552,Referred,Office,Unfavorable
x553,Referred,Office,Unfavorable
x554,Referred,Office,Unfavorable
x555,Referred,Office,Unfavorable
x556,Referred,Office,Favorable
x557,Referred,Office,Unfavorable
x558,Referred,Office,Unfavorable
x559,Referred,Office,Unfavorable
x560,Referred,Office,Unfavorable
x561,Referred,Office,Unfavorable
x562,Referred,Office,Favorable
x563,Referred,Office,Unfavorable
x564,Referred,Office,Unfavorable
x565,Referred,Office,Unfavorable
x566,Referred,Office,Favorable
x567,Referred,Office,Unfavorable
x568,Referred,Office,Favorable
x569,Referred,Office,Favorable
x570,Referred,Office,Favorable
x571,Referred,Office,Unfavorable
x572,Referred,Office,Unfavorable
x573,Referred,Office,Unfavorable
x574,Referred,Office,Unfavorable
x575,Referred,Office,Unfavorable
x576,Referred,Office,Favorable
x577,Referred,Office,Favorable
x578,Referred,Office,Unfavorable
x579,Referred,Office,Unfavorable
x580,Referred,Office,Unfavorable
x581,Referred,Office,Unfavorable
x582,Referred,Office,Unfavorable
x583,Referred,Office,Favorable
x584,Referred,Office,Unfavorable
x585,Referred,Office,Unfavorable
x586,Referred,Office,Unfavorable
x587,Referred,Office,Unfavorable
x588,Referred,Office,Unfavorable
x589,Referred,Office,Unfavorable
x590,Referred,Office,Unfavorable
x591,Referred,Office,Favorable
x592,Referred,Office,Favorable
x593,Referred,Office,Unfavorable
x594,Referred,Office,Unfavorable
x595,Referred,Office,Unfavorable
x596,Referred,Office,Favorable
x597,Referred,Office,Unfavorable
x598,Referred,Office,Favorable
x599,Referred,Office,Unfavorable
x600,Referred,Office,Favorable
x601,Referred,Office,Unfavorable
x602,Referred,Office,Unfavorable
x603,Referred,Office,Unfavorable
x604,Referred,Office,Unfavorable
x605,Referred,Office,Favorable
x606,Referred,Office,Unfavorable
x607,Referred,Office,Favorable
x608,Referred,Office,Favorable
x609,Referred,Office,Unfavorable
x610,Referred,Office,Unfavorable
x611,Referred,Office,Unfavorable
x612,Referred,Office,Favorable
x613,Referred,Office,Favorable
x614,Referred,Office,Unfavorable
x615,Referred,Office,Favorable
x616,Referred,Office,Favorable
x617,Referred,Office,Unfavorable
x618,Referred,Office,Unfavorable
x619,Referred,Office,Unfavorable
x620,Referred,Office,Unfavorable
x621,Referred,Office,Unfavorable
x622,Referred,Office,Unfavorable
x623,Referred,Office,Favorable
x624,Referred,Office,Favorable
x625,Referred,Office,Unfavorable
x626,Referred,Office,Favorable
x627,Referred,Office,Favorable
x628,Referred,Office,Unfavorable
x629,Referred,Office,Unfavorable
x630,Referred,Office,Unfavorable
x631,Referred,Office,Unfavorable
x632,Referred,Office,Unfavorable
x633,Referred,Office,Unfavorable
x634,Referred,Office,Favorable
x635,Referred,Office,Unfavorable
x636,Referred,Office,Unfavorable
x637,Referred,Office,Unfavorable
x638,Referred,Office,Unfavorable
x639,Referred,Office,Unfavorable
x640,Referred,Office,Favorable
x641,Referred,Office,Unfavorable
x642,Referred,Office,Unfavorable
x643,Referred,Office,Favorable
x644,Referred,Office,Unfavorable
x645,Referred,Office,Unfavorable
x646,Referred,Office,Unfavorable
x647,Referred,Office,Unfavorable
x648,Referred,Office,Unfavorable
x649,Referred,Office,Favorable
x650,Referred,Office,Favorable
x651,Referred,Office,Unfavorable
x652,Referred,Office,Unfavorable
x653,Referred,Office,Unfavorable
x654,Referred,Office,Unfavorable
x655,Referred,Office,Unfavorable
x656,Referred,Office,Unfavorable
x657,Referred,Office,Unfavorable
x658,Referred,Office,Unfavorable
x659,Referred,Office,Unfavorable
x660,Referred,Office,Favorable
x661,Referred,Office,Unfavorable
x662,Referred,Office,Unfavorable
x663,Referred,Office,Unfavorable
x664,Referred,Office,Favorable
x665,Referred,Office,Favorable
x666,Referred,Office,Unfavorable
x667,Referred,Office,Unfavorable
x668,Referred,Office,Unfavorable
x669,Referred,Office,Unfavorable
x670,Referred,Office,Favorable
x671,Referred,Office,Favorable
x672,Referred,Office,Unfavorable
x673,Referred,Office,Unfavorable
x674,Referred,Office,Unfavorable
x675,Referred,Office,Unfavorable
x676,Referred,Office,Unfavorable
x677,Referred,Office,Favorable
x678,Referred,Office,Unfavorable
x679,Referred,Office,Favorable
x680,Referred,Office,Unfavorable
x681,Referred,Office,Unfavorable
x682,Referred,Office,Unfavorable
x683,Referred,Office,Favorable
x684,Referred,Office,Favorable
x685,Referred,Office,Favorable
x686,Referred,Office,Unfavorable
x687,Referred,Office,Unfavorable
x688,Referred,Office,Favorable
x689,Referred,Office,Favorable
x690,Referred,Office,Favorable
x691,Referred,Office,Unfavorable
x692,Referred,Office,Favorable
x693,Referred,Office,Unfavorable
x694,Referred,Office,Favorable
x695,Referred,Office,Unfavorable
x696,Referred,Office,Favorable
x697,Referred,Office,Unfavorable
x698,Referred,Office,Unfavorable
x699,Referred,Office,Unfavorable
x700,Referred,Office,Unfavorable
x701,Referred,Office,Unfavorable
x702,Referred,Office,Favorable
x703,Referred,Office,Favorable
x704,Referred,Office,Unfavorable
x705,Referred,Office,Favorable
x706,Referred,Office,Unfavorable
x707,Referred,Office,Unfavorable
x708,Referred,Office,Unfavorable
x709,Referred,Office,Unfavorable
x710,Referred,Office,Unfavorable
x711,Referred,Office,Unfavorable
x712,Referred,Office,Unfavorable
x713,Referred,Office,Unfavorable
x714,Referred,Office,Unfavorable
x715,Referred,Office,Favorable
x716,Referred,Office,Unfavorable
x717,Referred,Office,Unfavorable
x718,Referred,Office,Unfavorable
x719,Referred,Office,Unfavorable
x720,Referred,Office,Favorable
x721,Referred,Office,Unfavorable
x722,Referred,Office,Unfavorable
x723,Referred,Office,Unfavorable
x724,Referred,Office,Unfavorable
x725,Referred,Office,Unfavorable
x726,Referred,Office,Unfavorable
x727,Referred,Office,Unfavorable
x728,Referred,Office,Favorable
x729,Referred,Office,Unfavorable
x730,Referred,Office,Unfavorable
x731,Referred,Office,Unfavorable
x732,Referred,Office,Unfavorable
x733,Referred,Office,Favorable
x734,Referred,Office,Unfavorable
x735,Referred,Office,Unfavorable
x736,Referred,Office,Favorable
x737,Referred,Office,Favorable
x738,Referred,Office,Unfavorable
x739,Referred,Office,Unfavorable
x740,Referred,Office,Unfavorable
x741,Referred,Office,Favorable
x742,Referred,Office,Unfavorable
x743,Referred,Office,Unfavorable
x744,Referred,Office,Unfavorable
x745,Referred,Office,Favorable
x746,Referred,Office,Favorable
x747,Referred,Office,Unfavorable
x748,Referred,Office,Unfavorable
x749,Referred,Office,Unfavorable
x750,Referred,Office,Favorable
x751,Referred,Office,Unfavorable
x752,Referred,Office,Favorable
x753,Referred,Office,Favorable
x754,Referred,Office,Unfavorable
x755,Referred,Office,Unfavorable
x756,Referred,Office,Unfavorable
x757,Referred,Office,Unfavorable
x758,Referred,Office,Unfavorable
x759,Referred,Office,Favorable
x760,Referred,Office,Unfavorable
x761,Referred,Office,Unfavorable
x762,Referred,Office,Unfavorable
x763,Referred,Office,Favorable
x764,Referred,Office,Unfavorable
x765,Referred,Office,Favorable
x766,Referred,Office,Unfavorable
x767,Referred,Office,Favorable
x768,Referred,Office,Favorable
x769,Referred,Office,Unfavorable
x770,Referred,Office,Unfavorable
x771,Referred,Office,Unfavorable
x772,Referred,Office,Unfavorable
x773,Referred,Office,Unfavorable
x774,Referred,Office,Unfavorable
x775,Referred,Office,Unfavorable
x776,Referred,Office,Favorable
x777,Referred,Office,Favorable
x778,Referred,Office,Unfavorable
x779,Referred,Office,Unfavorable
x780,Referred,Office,Unfavorable
x781,Referred,Office,Favorable
x782,Referred,Office,Unfavorable
x783,Referred,Office,Favorable
x784,Referred,Office,Unfavorable
x785,Referred,Office,Unfavorable
x786,Referred,Office,Unfavorable
x787,Referred,Office,Favorable
x788,Applied,Office,Unfavorable
x789,Applied,Office,Unfavorable
x790,Applied,Office,Unfavorable
x791,Applied,Office,Unfavorable
x792,Applied,Office,Unfavorable
x793,Applied,Office,Unfavorable
x794,Applied,Office,Unfavorable
x795,Applied,Office,Unfavorable
x796,Applied,Office,Unfavorable
x797,Applied,Office,Favorable
x798,Applied,Office,Unfavorable
x799,Applied,Office,Unfavorable
x800,Applied,Office,Unfavorable
x801,Applied,Office,Favorable
x802,Applied,Office,Unfavorable
x803,Applied,Office,Favorable
x804,Applied,Office,Unfavorable
x805,Applied,Office,Favorable
x806,Applied,Office,Unfavorable
x807,Applied,Office,Unfavorable
x808,Applied,Office,Unfavorable
x809,Applied,Office,Unfavorable
x810,Applied,Office,Unfavorable
x811,Applied,Office,Unfavorable
x812,Applied,Office,Unfavorable
x813,Applied,Office,Unfavorable
x814,Applied,Office,Unfavorable
x815,Applied,Office,Unfavorable
x816,Applied,Office,Unfavorable
x817,Applied,Office,Unfavorable
x818,Applied,Office,Unfavorable
x819,Applied,Office,Unfavorable
x820,Applied,Office,Unfavorable
x821,Applied,Office,Favorable
x822,Applied,Office,Unfavorable
x823,Applied,Office,Unfavorable
x824,Applied,Office,Unfavorable
x825,Applied,Office,Favorable
x826,Applied,Office,Unfavorable
x827,Applied,Office,Unfavorable
x828,Applied,Office,Unfavorable
x829,Applied,Office,Unfavorable
x830,Applied,Office,Unfavorable
x831,Applied,Office,Unfavorable
x832,Applied,Office,Unfavorable
x833,Applied,Office,Unfavorable
x834,Applied,Office,Unfavorable
x835,Applied,Office,Favorable
x836,Applied,Office,Unfavorable
x837,Applied,Office,Unfavorable
x838,Applied,Office,Unfavorable
x839,Applied,Office,Unfavorable
x840,Applied,Office,Favorable
x841,Applied,Office,Unfavorable
x842,Applied,Office,Unfavorable
x843,Applied,Office,Unfavorable
x844,Applied,Office,Favorable
